2011-08-23 05:21:27 install initramfs-tools-bin <none> 0.98.8ubuntu3
2011-08-23 05:21:27 status half-installed initramfs-tools-bin 0.98.8ubuntu3
2011-08-23 05:21:28 status unpacked initramfs-tools-bin 0.98.8ubuntu3
2011-08-23 05:21:28 status unpacked initramfs-tools-bin 0.98.8ubuntu3
2011-08-23 05:21:28 install initscripts <none> 2.87dsf-4ubuntu23
2011-08-23 05:21:28 status half-installed initscripts 2.87dsf-4ubuntu23
2011-08-23 05:21:28 status unpacked initscripts 2.87dsf-4ubuntu23
2011-08-23 05:21:28 status unpacked initscripts 2.87dsf-4ubuntu23
2011-08-23 05:21:28 install insserv <none> 1.14.0-2
2011-08-23 05:21:28 status half-installed insserv 1.14.0-2
2011-08-23 05:21:28 status unpacked insserv 1.14.0-2
2011-08-23 05:21:28 status unpacked insserv 1.14.0-2
2011-08-23 05:21:28 install klibc-utils <none> 1.5.20-1ubuntu6
2011-08-23 05:21:28 status half-installed klibc-utils 1.5.20-1ubuntu6
2011-08-23 05:21:28 status unpacked klibc-utils 1.5.20-1ubuntu6
2011-08-23 05:21:28 status unpacked klibc-utils 1.5.20-1ubuntu6
2011-08-23 05:21:28 install libacl1 <none> 2.2.49-4ubuntu2
2011-08-23 05:21:28 status half-installed libacl1 2.2.49-4ubuntu2
2011-08-23 05:21:28 status unpacked libacl1 2.2.49-4ubuntu2
2011-08-23 05:21:28 status unpacked libacl1 2.2.49-4ubuntu2
2011-08-23 05:21:28 install libattr1 <none> 1:2.4.44-2ubuntu3
2011-08-23 05:21:28 status half-installed libattr1 1:2.4.44-2ubuntu3
2011-08-23 05:21:28 status unpacked libattr1 1:2.4.44-2ubuntu3
2011-08-23 05:21:28 status unpacked libattr1 1:2.4.44-2ubuntu3
2011-08-23 05:21:28 install libblkid1 <none> 2.17.2-9.1ubuntu4
2011-08-23 05:21:28 status half-installed libblkid1 2.17.2-9.1ubuntu4
2011-08-23 05:21:29 status unpacked libblkid1 2.17.2-9.1ubuntu4
2011-08-23 05:21:29 status unpacked libblkid1 2.17.2-9.1ubuntu4
2011-08-23 05:21:29 install libbz2-1.0 <none> 1.0.5-6ubuntu1
2011-08-23 05:21:29 status half-installed libbz2-1.0 1.0.5-6ubuntu1
