2023-10-07 19:07:28 upgrade dpkg:armhf 1.21.22 1.21.22
2023-10-07 19:07:28 status half-configured dpkg:armhf 1.21.22
2023-10-07 19:07:28 status unpacked dpkg:armhf 1.21.22
2023-10-07 19:07:28 status half-installed dpkg:armhf 1.21.22
2023-10-07 19:07:28 status unpacked dpkg:armhf 1.21.22
2023-10-07 19:07:28 install e2fsprogs:armhf <none> 1.47.0-2
2023-10-07 19:07:28 status half-installed e2fsprogs:armhf 1.47.0-2
2023-10-07 19:07:28 status unpacked e2fsprogs:armhf 1.47.0-2
2023-10-07 19:07:28 install findutils:armhf <none> 4.9.0-4
2023-10-07 19:07:28 status half-installed findutils:armhf 4.9.0-4
2023-10-07 19:07:29 status unpacked findutils:armhf 4.9.0-4
2023-10-07 19:07:29 install gcc-12-base:armhf <none> 12.2.0-14
2023-10-07 19:07:29 status half-installed gcc-12-base:armhf 12.2.0-14
2023-10-07 19:07:29 status unpacked gcc-12-base:armhf 12.2.0-14
2023-10-07 19:07:29 install gpgv:armhf <none> 2.2.40-1.1
2023-10-07 19:07:29 status half-installed gpgv:armhf 2.2.40-1.1
2023-10-07 19:07:29 status unpacked gpgv:armhf 2.2.40-1.1
2023-10-07 19:07:29 install grep:armhf <none> 3.8-5
2023-10-07 19:07:29 status half-installed grep:armhf 3.8-5
2023-10-07 19:07:29 status unpacked grep:armhf 3.8-5
2023-10-07 19:07:29 install gzip:armhf <none> 1.12-1
2023-10-07 19:07:29 status half-installed gzip:armhf 1.12-1
2023-10-07 19:07:29 status unpacked gzip:armhf 1.12-1
2023-10-07 19:07:29 install hostname:armhf <none> 3.23+nmu1
2023-10-07 19:07:29 status half-installed hostname:armhf 3.23+nmu1
2023-10-07 19:07:29 status unpacked hostname:armhf 3.23+nmu1
2023-10-07 19:07:29 install init-system-helpers:all <none> 1.65.2
2023-10-07 19:07:29 status half-installed init-system-helpers:all 1.65.2
2023-10-07 19:07:29 status unpacked init-system-helpers:all 1.65.2
2023-10-07 19:07:29 install libacl1:armhf <none> 2.3.1-3
2023-10-07 19:07:29 status half-installed libacl1:armhf 2.3.1-3
2023-10-07 19:07:29 status unpacked libacl1:armhf 2.3.1-3
2023-10-07 19:07:29 install libapt-pkg6.0:armhf <none> 2.6.1
2023-10-07 19:07:29 status half-installed libapt-pkg6.0:armhf 2.6.1
2023-10-07 19:07:29 status unpacked libapt-pkg6.0:armhf 2.6.1
2023-10-07 19:07:29 install libattr1:armhf <none> 1:2.5.1-4
2023-10-07 19:07:29 status half-installed libattr1:armhf 1:2.5.1-4
2023-10-07 19:07:29 status unpacked libattr1:armhf 1:2.5.1-4
2023-10-07 19:07:29 install libaudit-common:all <none> 1:3.0.9-1
2023-10-07 19:07:29 status half-installed libaudit-common:all 1:3.0.9-1
2023-10-07 19:07:29 status unpacked libaudit-common:all 1:3.0.9-1
2023-10-07 19:07:30 install libaudit1:armhf <none> 1:3.0.9-1
2023-10-07 19:07:30 status half-installed libaudit1:armhf 1:3.0.9-1
2023-10-07 19:07:30 status unpacked libaudit1:armhf 1:3.0.9-1
2023-10-07 19:07:30 install libblkid1:armhf <none> 2.38.1-5+b1
2023-10-07 19:07:30 status half-installed libblkid1:armhf 2.38.1-5+b1
2023-10-07 19:07:30 status unpacked libblkid1:armhf 2.38.1-5+b1
2023-10-07 19:07:30 install libbz2-1.0:armhf <none> 1.0.8-5+b1
2023-10-07 19:07:30 status half-installed libbz2-1.0:armhf 1.0.8-5+b1
2023-10-07 19:07:30 status unpacked libbz2-1.0:armhf 1.0.8-5+b1
2023-10-07 19:07:30 install libc-bin:armhf <none> 2.36-9+deb12u2
